id,name,categories,code_signature,creation_date,network_signature,website
171,Mapbox,[],com.mapbox.mapboxsdk.|com.mapbox.android.telemetry.,2019-03-10,a\.tiles\.mapbox\.com|api\.tiles\.mapbox\.com,https://www.mapbox.com/
172,Optimizely,['Analytics'],com.optimizely.,2019-03-10,optimizely\.com,https://www.optimizely.com/
173,Taboola,[],com.taboola.,2019-03-10,taboola\.com,https://www.taboola.com/
174,CleverTap,"['Analytics', 'Profiling', 'Location']",com.clevertap.,2019-03-10,wzrkt\.com,https://clevertap.com/
175,myTracker,[],com.my.tracker.,2019-03-10,tracker-api\.my\.com,https://tracker.my.com/
176,Cloudmobi,[],com.cloudtech.,2019-03-10,api\.cloudmobi\.net|cloudmobi\.net|logger\.cloudmobi\.net|vast\.cloudmobi\.net,http://www.cloudmobi.net/
177,ADLIB,[],com.mocoplex.adlib.,2019-03-10,adlibr\.com,https://adlibr.com
178,Brightcove,[],com.brightcove,2019-03-19,metrics\.brightcove\.com,https://www.brightcove.com
179,DOV-E,['Advertisement'],com.dv.DVSDK,2019-03-19,\.dov-e\.com,https://www.dov-e.com/
180,InMarket,[],com.inmarket,2019-03-19,m2m-api\.inmarket\.com,https://inmarket.com/
181,Pilgrim by Foursquare,['Location'],com.foursquare.pilgrim|com.foursquare.pilgrimsdk.android,2019-03-19,sdk\.foursquare\.com,https://enterprise.foursquare.com/products/pilgrim
182,OtherLevels,[],com.otherlevels.,2019-03-19,api\.otherlevels\.com|geodata\.otherlevels\.com|mdn\.otherlevels\.com|rich\.otherlevels\.com|tags\.otherlevels\.com|ws\.otherlevels\.com,https://www.otherlevels.com/
183,PubNative,['Advertisement'],net.pubnative,2019-03-19,pubnative\.net,https://pubnative.net/
184,Appnext,[],com.appnext.,2019-03-19,appnext.com,https://www.appnext.com/
185,MobFox,"['Analytics', 'Profiling', 'Advertisement']",com.mobfox.|com.adsdk.sdk.,2019-03-19,,https://www.mobfox.com/
186,ShallWeAD,[],com.jm.co.shallwead.sdk.|com.co.shallwead.sdk.,2019-03-19,,http://www.shallwead.com
187,deltaDNA,['Analytics'],com.deltadna,2019-03-19,deltadna\.net,https://deltadna.com/
188,Display,[],io.display.,2019-03-19,display.io,https://www.display.io/en/
189,HyprMX,['Advertisement'],com.hyprmx.android.sdk.,2019-04-15,hyprmx\.com,https://www.hyprmx.com
190,Bugly,[],com.tencent.bugly.,2019-04-15,bugly\.qq\.com,https://bugly.qq.com/v2/
191,Duapps,[],com.duapps.,2019-04-15,duapps\.com,http://ad.duapps.com/
192,Swrve,"['Analytics', 'Profiling', 'Location']",com.swrve.sdk,2019-04-15,api\.swrve\.com|content\.swrve\.com,https://www.swrve.com/
193,OneSignal,[],com.onesignal.,2019-04-15,onesignal\.com,https://onesignal.com/
194,Appdynamics,"['Analytics', 'Profiling']",com.appdynamics.,2019-04-15,,https://www.appdynamics.com/
195,Startapp,"['Analytics', 'Advertisement']",com.startapp.android.publish|com.startapp.,2019-04-15,c2i\.startappnetwork\.com|c2s\.startappnetwork\.com|click\.startappservice\.com|dts\.startappservice\.com|events\.startappservice\.com|images\.startappservice\.com|imp\.startappservice\.com|info\.static\.startappservice\.com|init\.startappservice\.com|req\.startappservice\.com|soda\.startappservice\.com|startappservice\.com|va\.origin\.startappservice\.com,https://www.startapp.com
196,AerServ,['Advertisement'],com.aerserv.sdk.,2019-04-15,ads\.aerserv\.com|debug\.aerserv\.com,https://www.aerserv.com/
197,INFOnline,[],de.infonline.,2019-04-15,de\.ioam\.de,https://www.infonline.de
198,myTarget,['Advertisement'],com.my.target.,2019-04-15,.target\.my\.com,https://target.my.com/
199,Tapjoy,[],com.tapjoy.,2019-04-15,tapjoy\.com|tapjoyads\.com|www\.5rocks\.io,https://www.tapjoy.com/
200,Mintegral,"['Analytics', 'Advertisement']",com.mintegral.,2019-04-15,analytics\.rayjump\.com|cdn-adn\.rayjump\.com|de01\.rayjump\.com|de\.rayjump\.com|detect\.rayjump\.com|fk-mtrack\.rayjump\.com|hybird\.rayjump\.com|jssdk\.rayjump\.com|net\.rayjump\.com|online\.rayjump\.com|rayjump\.com|setting\.rayjump\.com|sg-mtrack\.rayjump\.com|sg01\.rayjump\.com|sg\.rayjump\.com|tknet\.rayjump\.com|us01\.rayjump\.com,https://www.mintegral.com/en/
201,Gimbal,[],com.gimbal.android,2019-04-15,analytics-server\.gimbal\.com|api\.gimbal\.com|registration\.gimbal\.com|sdk-info\.gimbal\.com,https://gimbal.com/
202,Conviva,[],com.conviva.,2019-04-15,cws\.conviva\.com,https://www.conviva.com/
203,Auditude,[],com.auditude.ads,2019-05-02,auditude\.com,https://www.adobe.com/privacy/policies/auditude.html
204,Instreamatic (Adman),"['Analytics', 'Advertisement']",com.instreamatic,2019-05-02,instreamatic\.com,http://instreamatic.com/
205,GameAnalytics,"['Analytics', 'Profiling']",com.gameanalytics.sdk,2019-06-12,,https://gameanalytics.com/features
206,Instabug,['Crash reporting'],com.instabug.,2019-06-12,,https://instabug.com/crash-reporting
207,Bugsnag,['Crash reporting'],com.bugsnag.,2019-06-12,,https://www.bugsnag.com/
208,Moodmedia,"['Advertisement', 'Location']",com.moodmedia,2019-06-20,moodpresence\.com,https://us.moodmedia.com/
209,Houndify,"['Identification', 'Location']",com.hound,2019-06-20,houndify\.com,https://www.houndify.com/
210,OpenX,"['Analytics', 'Advertisement', 'Location']",com.openx.view.plugplay|com.openx.android_sdk_openx,2019-06-20,openx\.com|openx\.net|openx\.org|us-ads\.openx\.net,https://www.openx.com/
211,Taplytics,"['Analytics', 'Advertisement']",com.taplytics.sdk,2019-06-20,api\.taplytics\.com|ping\.tapylitics\.com,https://taplytics.com
212,Yinzcam Sobek,"['Analytics', 'Advertisement', 'Location']",com.yinzcam.sobek,2019-06-20,analytics\.yinzcam\.com,http://www.yinzcam.com/
213,Ooyala,['Advertisement'],com.ooyala,2019-07-01,ooyala\.com,https://www.ooyala.com/
214,Kiip,['Advertisement'],me.kiip.sdk,2019-08-20,kiip\.me,https://www.ninthdecimal.com/
215,MobPower,['Advertisement'],com.mobpower.,2019-08-20,api\.mobpowertech\.com|log\.mobpowertech\.com|mobpowertech\.com|scheme\.mobpowertech\.com,https://home.mobpowertech.com/
216,AdBuddiz,['Advertisement'],com.purplebrain.adbuddiz.sdk.,2019-08-20,sdk\.adbuddiz\.com,http://www.adbuddiz.com/abuse?hl=fr
218,Integral Ad Science,[],com.integralads.avid.library,2019-10-26,adsafeprotected\.com|iasds01\.com|integralads\.com,https://integralads.com
219,AltBeacon,[],org.altbeacon.beacon.|com.altbeacon.beacon.|org.altbeacon.bluetooth.,2019-10-26,,https://altbeacon.org
220,Salesforce Marketing Cloud,[],com.salesforce.marketingcloud,2019-10-26,,https://www.salesforce.com/products/marketing-cloud/
221,Mozilla Telemetry,[],org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.,2019-10-26,,https://wiki.mozilla.org/Telemetry
222,nend,['Advertisement'],net.nend.android|net.nend.unity.,2019-10-26,,https://nend.net/en/
223,Pusher,[],com.pusher.client.,2019-10-26,,https://pusher.com/
224,FreeWheel,['Advertisement'],tv.freewheel.ad.,2019-10-26,fwmrm\.net,http://freewheel.tv/
225,TNK Factory,['Advertisement'],com.tnkfactory.ad,2019-10-26,,http://www.tnkfactory.com
226,Axonix,[],com.axonix.android.sdk|com.mobclix.android.sdk,2019-10-26,ads\.mobclix\.com|axonix\.com|data\.mobclix\.com|mobclix\.com|s\.mobclix\.com,http://axonix.com/
227,Gemius HeatMap,[],com.gemius.sdk,2019-10-26,gemius\.pl,https://heatmap.gemius.com
228,YouAppi,[],com.youappi.sdk.,2019-10-26,,https://www.youappi.com
229,Adobe Experience Cloud,[],com.adobe.marketing.mobile,2019-10-26,,https://www.adobe.com/experience-cloud.html
230,Teads,['Advertisement'],tv.teads.|teads.tv.,2019-10-26,teads\.tv,https://www.teads.tv
231,In Loco,[],com.inlocomedia.android,2019-10-26,inlocomedia\.com,https://inloco.com.br
232,IQzone,['Advertisement'],com.iqzone,2019-10-26,,https://iqzone.com
233,Bugfender,"['Crash reporting', 'Analytics']",com.bugfender.sdk.,2019-10-26,,https://bugfender.com/
234,Wootric,['Analytics'],com.wootric.androidsdk.,2019-10-26,.wootric\.com\.herokudns\.com|wootric\.com,http://wootric.com
235,KIDOZ,['Advertisement'],com.kidoz.sdk,2019-10-26,,https://kidoz.net/kidoz-sdk/
236,PubMatic,['Advertisement'],com.pubmatic.sdk,2019-10-26,ads\.pubmatic\.com|aktrack\.pubmatic\.com|gads\.pubmatic\.com|image2\.pubmatic\.com|simage2\.pubmatic\.com,https://pubmatic.com/
237,Kissmetrics,['Analytics'],com.kissmetrics,2019-11-09,,https://www.kissmetricshq.com/
238,Microsoft Visual Studio App Center Crashes,['Crash reporting'],com.microsoft.appcenter.crashes,2019-11-09,,https://appcenter.ms/
239,Webtrekk,['Analytics'],com.webtrekk.webtrekksdk,2019-11-09,,https://www.webtrekk.com/
240,Google Analytics Plugin (Cordova),['Analytics'],com.danielcwilson.plugins.analytics,2019-11-09,,https://analytics.withgoogle.com/
241,Bugsee,['Crash reporting'],com.bugsee.library.Bugsee,2019-11-09,,https://www.bugsee.com/
242,Splunk MINT,['Analytics'],com.splunk.mint,2019-11-09,,https://mint.splunk.com/
243,Microsoft Visual Studio App Center Analytics,['Analytics'],com.microsoft.appcenter.analytics|com.microsoft.azure.mobile.analytics,2019-11-09,,https://appcenter.ms/
244,Nielsen,['Analytics'],com.nielsen.app,2019-11-09,,https://www.nielsen.com
245,Reveal Mobile,"['Analytics', 'Location']",com.stepleaderdigital.reveal,2019-11-09,,https://revealmobile.com/
246,Metrics,['Analytics'],com.codahale.metrics,2019-11-09,,https://metrics.dropwizard.io
247,Repro,['Analytics'],io.repro.android.,2019-11-09,,https://repro.io/
248,Sensors Analytics,['Analytics'],com.sensorsdata.analytics.android.sdk,2019-11-09,,https://www.sensorsdata.cn
249,Tenjin,['Analytics'],com.tenjin.android.,2019-11-09,,https://www.tenjin.com/
250,Tapstream,['Analytics'],com.tapstream.sdk,2019-11-09,,https://www.tapstream.com/
251,Singular,['Analytics'],com.singular.sdk,2019-11-09,,https://singular.net/
252,CallDorado,['Advertisement'],com.calldorado.android,2019-11-09,,http://calldorado.com
253,UXCam,"['Analytics', 'Profiling']",com.uxcam.,2019-11-09,,https://uxcam.com/
254,Upsight,"['Analytics', 'Profiling', 'Advertisement']",com.upsight.android,2019-11-09,,https://www.upsight.com/
255,Appcelerator Analytics,['Analytics'],com.appcelerator.aps.|org.appcelerator.titanium.analytics,2019-11-09,appcelerator\.com|appcelerator\.net,https://www.appcelerator.com
256,Adbrix,"['Analytics', 'Profiling']",com.igaworks.adbrix,2019-11-09,ad-brix\.com,http://ad-brix.com/
257,Cauly,['Advertisement'],com.fsn.cauly|com.trid.tridad|com.cauly.android.ad.,2019-11-09,ad\.cauly\.co\.kr,https://www.cauly.net
258,Tapdaq,['Advertisement'],com.tapdaq.sdk.|com.tapdaq.adapters.,2019-11-09,ads\.tapdaq\.com,https://www.tapdaq.com/
259,Verve,['Advertisement'],com.vervewireless.advert.,2019-11-09,,https://www.verve.com
260,Apsalar,"['Analytics', 'Profiling', 'Advertisement']",com.apsalar.sdk.,2019-11-09,e-ssl\.apsalar\.com|e\.apsalar\.com,https://singular.net
261,PingStart,['Advertisement'],com.pingstart.adsdk.,2019-11-09,api\.pingstart\.com,http://pingstart.com
262,Keen,['Analytics'],io.keen.client.,2019-11-09,api\.keen\.io,https://keen.io
263,Revmob,['Advertisement'],com.revmob.ads.,2020-01-02,,https://www.crunchbase.com/organization/revmob
264,Emarsys Predict,[],com.emarsys.predict,2020-01-02,recommender\.scarabresearch\.com,https://help.emarsys.com/hc/categories/115000670425-Predict
265,Lotame,[],com.lotame.android,2020-01-02,ad\.crwdcntrl\.net,https://www.lotame.com/
266,FollowAnalytics,[],com.followanalytics.,2020-01-02,sdk\.follow-apps\.com,https://www.followanalytics.com
267,Chartbeat,['Analytics'],com.chartbeat.androidsdk,2020-01-02,.chartbeat\.com|.chartbeat\.net,https://chartbeat.com/
268,MoEngage,['Analytics'],com.moengage.,2020-01-02,apiv2\.moengage\.com,https://www.moengage.com/
269,Altamob,['Advertisement'],com.altamob.sdk,2020-01-02,api\.altamob\.com,https://www.altamob.com/en/index.html
270,Tealeaf,['Analytics'],com.tl.uic.Tealeaf,2020-02-25,,https://acoustic.co/products/experience-analytics/
271,AMoAd,[],com.amoad.,2020-02-25,,https://www.amoad.com
272,AdAdapted,"['Analytics', 'Advertisement']",com.adadapted.android.sdk.,2020-02-25,ads\.adadapted\.com,https://www.adadapted.com
273,AdMuing,['Advertisement'],com.admuing.danmaku.,2020-02-25,,https://github.com/admuing
274,Adcash,['Advertisement'],com.adcash.mobileads.,2020-02-25,,https://adcash.com
275,Admixer,['Advertisement'],com.admixer|net.admixer.sdk,2020-02-25,admixer\.co\.kr,http://admixer.co.kr/
276,Admost,['Advertisement'],admost.sdk.|admost.adserver.,2020-02-25,cdn\-api\.admost\.com|go\.admost\.com|med\-api\.admost\.com,https://admost.com/
277,Alohalytics,['Analytics'],org.alohalytics.,2020-02-25,,https://github.com/biodranik/Alohalytics
278,Amobee,[],com.amobee.,2020-02-25,amobee\.com,https://amobee.com
279,Anagog,"['Analytics', 'Location']",com.anagog.jedai,2020-02-25,,https://anagog.com
280,Bazaarvoice,"['Analytics', 'Location']",com.bazaarvoice.bvandroidsdk,2020-02-25,,https://www.bazaarvoice.com/
281,BeaconsInSpace (Fysical),['Location'],com.beaconsinspace.android.beacon.detector.,2020-02-25,,https://beaconsinspace.com
282,Conversant,[],com.conversantmedia|com.greystripe.android.,2020-02-25,conversantmedia\.com,https://www.conversantmedia.com
283,Glympse,['Location'],com.glympse.android.,2020-02-25,\.glympse\.com,https://glympse.com
284,Herow,"['Analytics', 'Profiling', 'Location']",com.connecthings.herow,2020-02-25,,https://herow.io/
285,Placer,"['Analytics', 'Profiling', 'Location']",com.placer.client.Placer,2020-02-25,,https://placer.io/
286,PushSpring,[],com.pushspring.sdk.PushSpring,2020-02-25,api\.pushspring\.com,http://www.pushspring.com/
287,Pyze,['Analytics'],com.pyze.,2020-02-25,pyze\.com,https://pyze.com/
288,Radar,[],io.radar.sdk.Radar,2020-02-25,,https://radar.io/
289,Roximity,['Location'],com.roximity.sdk.,2020-02-25,app\.roximity\.com,http://roximity.com/
290,Sentiance,[],com.sentiance.sdk.,2020-02-25,api\.sentiance\.com,https://www.sentiance.com/
291,SmartLook,"['Profiling', 'Location']",com.smartlook.sdk.smartlook.,2020-02-25,smartlook\.com,https://www.smartlook.com/
292,Square Metrics,[],com.beaconinside.proximitysdk.ProximityService,2020-02-25,api\.beaconinside\.com,https://www.squaremetrics.com
293,TalkingData,"['Analytics', 'Advertisement']",com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.,2020-02-25,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/
294,flymob,[],com.flymob.sdk.,2020-02-25,,https://flymob.com/
295,AdFalcon,['Advertisement'],com.noqoush.adfalcon.android.sdk,2020-06-08,,http://adfalcon.com
296,Bitly,[],com.bitly.Bitly,2020-06-08,,https://bitly.com/
297,Enhance,[],co.enhance.Enhance,2020-06-08,app-config\.enhance\.co|data-location\.enhance\.co,https://enhance.co
298,Esri ArcGIS,['Location'],com.esri.arcgisruntime.,2020-06-08,,https://www.arcgis.com/
299,GIPHY Analytics,['Analytics'],com.giphy.sdk.analytics,2020-06-08,api\.giphy\.com|pingback\.giphy\.com,https://giphy.com/
300,Heap,['Analytics'],com.heapanalytics,2020-06-08,heapanalytics.com,https://heap.io/
301,Inneractive,['Advertisement'],com.inneractive.api.ads,2020-06-08,,https://www.crunchbase.com/organization/inneractive
302,MDOTM,['Advertisement'],com.mdotm.android,2020-06-08,ads\.mdotm\.com,http://mdotm.com/
303,Metaps,['Advertisement'],com.metaps,2020-06-08,,http://www.metaps.com
304,Parse.ly,['Analytics'],com.parsely.parselyandroid,2020-06-08,,https://www.parse.ly/
305,Pollfish,['Profiling'],com.pollfish,2020-06-08,,https://www.pollfish.com
306,Qualtrics,[],com.qualtrics.digital.,2020-06-08,qualtrics\.com,http://www.qualtrics.com/
307,Tamoco,"['Analytics', 'Location']",com.tamoco.sdk,2020-06-08,evt\.tamoco\.com,https://www.tamoco.com/
308,Vpon,"['Analytics', 'Profiling', 'Advertisement']",com.vpon.ads,2020-06-08,,https://www.vpon.com/
309,YuMe,['Advertisement'],com.yume.android,2020-06-08,,https://www.appbrain.com/stats/libraries/details/yume/yume
310,Zapr,"['Analytics', 'Advertisement', 'Location']",com.redbricklane.zapr,2020-06-08,.zapr\.in,https://www.zapr.in/
311,mediba,['Advertisement'],com.mediba.jp|mediba.ad.sdk.android.openx,2020-06-08,,https://www.mediba.jp
312,Google AdMob,['Advertisement'],com.google.ads.|com.google.android.gms.ads.AdView|com.google.android.gms.ads.AdActivity|com.google.android.gms.ads.AdRequest|com.google.android.gms.ads.mediation|com.google.android.gms.ads.doubleclick|com.google.android.ads.|com.google.unity.ads.|com.google.android.gms.admob|com.google.firebase.firebase_ads.,2020-06-24,2mdn\.net|\.google\.com|dmtry\.com|doubleclick\.com|doubleclick\.net|mng-ads\.com,https://admob.google.com
313,Unacast Pure,['Location'],com.pure.internal.|com.pure.sdk.,2020-07-13,,https://www.unacast.com/
314,Factual,[],com.factual.engine|com.factual.Factual,2020-09-19,api.factual.com,https://www.factual.com
315,Footmarks,['Location'],com.footmarks.footmarkssdkm2,2020-09-19,,https://www.footmarks.com
316,OzTAM,['Analytics'],au.com.oztam.,2020-09-19,deliver.oztam.com.au,https://oztam.com.au/
317,Receptiv (formerly Mediabrix),['Advertisement'],com.mediabrix.android,2020-09-19,,https://www.receptiv.com/
318,Tutela,[],com.tutelatechnologies.sdk,2020-09-19,,https://www.tutela.com/
319,Twine Data,[],com.twine.sdk,2020-09-19,,https://www.truedata.co/
320,Verizon Ads,"['Analytics', 'Profiling', 'Identification', 'Advertisement', 'Location']",com.verizon.ads|com.verizondigitalmedia.mobile.|com.oath.mobile.,2020-09-19,,https://www.verizonmedia.com/
321,adPOPcorn,[],com.igaworks.adpopcorn|com.igaworks.ssp.,2020-09-19,,https://adpopcorn.com/
322,maio by i-mobile,[],jp.maio.sdk.,2020-09-19,,https://adpf-info.i-mobile.co.jp/en/
323,360Dialog,"['Analytics', 'Profiling', 'Identification', 'Advertisement', 'Location']",com.threesixtydialog.sdk.,2020-09-19,,https://www.360dialog.com
324,ABTasty,['Analytics'],com.abtasty,2020-09-19,abtasty\.com,https://www.abtasty.com
325,ACRCloud,['Analytics'],com.acrcloud,2020-09-19,acrcloud.com|hb-minify-juc1ugur1qwqqqo4.stackpathdns.com,https://acrcloud.com/
326,Aarki,"['Analytics', 'Profiling', 'Identification', 'Advertisement']",com.aarki,2020-09-19,,https://www.aarki.com
327,Actv8me,"['Profiling', 'Identification', 'Advertisement', 'Location']",me.actv8,2020-09-19,actv8technologies\.com,https://www.actv8me.com/
328,IAB Open Measurement,"['Identification', 'Advertisement']",com.iab.omid.library|com.prime31.util.IabHelperImpl|com.prime31.IAB.,2020-09-19,,https://iabtechlab.com/
333,Huawei Mobile Services (HMS) Core,"['Analytics', 'Advertisement', 'Location']",com.huawei.hms.analytics|com.huawei.hms.location|com.huawei.hms.plugin.analytics|com.huawei.hms.plugin.ads|com.huawei.updatesdk.|com.huawei.agconnect.|com.huawei.hms.support.api.push.,2020-11-25,,https://developer.huawei.com/consumer/en/hms
334,Akamai MAP,['Analytics'],com.akamai.android.sdk.AkaMap,2020-11-27,,https://www.akamai.com/
336,Mail.ru,[],ru.mail.mrgservice.advertising|ru.mail.mrgservice.analytics,2020-11-27,,http://mail.ru
337,Airpush,['Advertisement'],com.airpush.,2020-12-13,api\.airpush\.com|apidm\.airpush\.com|apistaging\.airpush\.com|apportal\.airpush\.com|appwall\.api\.airpush\.com|beta\.airpush\.com|cdnap\.airpush\.com|m\.airpush\.com,https://airpush.com/
338,Alimama (formerly AdsMogo),['Advertisement'],com.adsmogo.|com.alimama.,2020-12-13,\.alimama\.|\.adsmogo\.,https://www.alimama.com/
339,AnySDK,"['Analytics', 'Advertisement']",com.anysdk.framework.AnalyticsWrapper|com.anysdk.framework.AdsWrapper,2020-12-13,,http://www.anysdk.com/
340,Button,"['Analytics', 'Profiling', 'Identification']",com.usebutton.sdk.,2020-12-13,\.usebutton.com,https://www.usebutton.com
341,Carto (formerly Nutiteq),"['Advertisement', 'Location']",com.nutiteq|com.carto,2020-12-13,,https://carto.com
342,Didomi,['Analytics'],io.didomi.sdk.,2020-12-13,,https://www.didomi.io/
